id,full_id,youtube_tags,predicted_tags
6Pfl,mw5Ma0FDxs4,"['aerobika', 'club', 'moscow', 'nu', 'rave', 'acid', 'rock', 'super', 'new']","['Concert', 'Musician', 'Disc jockey']"
49ph,7xxFS6SuQ1A,"['Tsubasa', 'Reservoir', 'Chronicle', 'Tokyo', 'Revelations', 'Shunraiki', 'Sakura', 'Clone', 'Syaoran', 'Li', 'Made', 'Mistakes', 'That', 'He', ""Can't"", 'Erase', 'Money', 'Honey', 'State', 'Of', 'Shock', 'AMV', 'Anime', 'Manga']","['Cartoon', 'Vampire Knight', 'Tsubasa: Reservoir Chronicle']"
50LP,gLliDTQ6bwM,"['Mejor Sin Ti', 'Alacranes Musical', 'Latino', 'Single', 'vydia', '2014', 'Alacranes Musical Inc.', 'AM Music', 'Isaac Herrera', 'Oscar Urbina JR', 'Marcos Urbina', 'Ombre Media Group', 'Gerardo Jerry Alvarez', 'Abiel Hinojosa', 'music', 'music video', 'vevo']","['Musician', 'Music video']"
Xs0A,bN7CFvNZTWY,,"['Concert', 'Musician', 'Performance art', 'Musical ensemble']"
dlJu,cNVJh8M1Qvk,"['trailer', 'luna', 'nueva', 'new', 'moon', 'eclipse', 'twilight', 'crepusculo', 'amanecer', 'breakin', 'dawn', 'bella', 'swan', 'edward', 'cullen', 'jacob', 'black', 'kristen', 'stewart', 'robert', 'pattinson', 'taylor', 'lautner', 'mtv', 'premios', 'video', 'music', 'awards', 'nikki', 'red', 'alice']","['Trailer (promotion)', 'The Twilight Saga (film series)', 'Edward Cullen']"
SucB,s--jh0XIiIU,"['Leather', 'Medic', '3M', 'Scotchgard', 'leather', 'cleaning', 'protection', 'repair', 'restoring']",
VcgD,MOHJXYDVdVQ,,"['Game', 'Video game', 'Minecraft', 'PlayStation 3', 'Xbox 360', 'Xbox One', 'Xbox']"
Vl9H,9dtAuhogWvI,"['quake', 'mod', 'slide']","['Game', 'Video game', 'Counter-Strike (video game)']"
Vby0,psWfSs1AiZw,"['Chubby Bunny', 'marshmallow', 'bunny', 'chubby', 'marshmallow challenge', 'marshmellow', 'marshmellow challenge', 'unicorn', 'unicorn challenge', 'uicorn magic', 'kid toy testers', 'kidtoytesters', 'family friendly', 'family fun', 'fun', 'laughing', 'giggling', 'silly', 'yumiko', 'food challenge', 'kid candy', 'kid candy review', 'candy review', 'taste challenge', 'Food (TV Genre)', 'Family']",['Food']
8ttU,fcfrZLR0H_o,"['Wiseco', 'FMC', 'Fuel Controller', 'How To', 'Demo', 'Fuel Injection', 'Tuning', 'EFI']",
vSGc,xdNMm6zhR4Y,['whippet'],"['Animal', 'Pet', 'Dog']"
J0IA,y5U-IUg0k3U,"['God Is', 'Trinity', 'Mt.', 'Carmel', 'Baptist', 'Church', 'Erna', 'French', 'Homegoing', 'Service', 'St.', 'Louis', 'Renee Gilkey']","['Concert', 'Performance art', 'Choir']"
p8Bo,rKkMMAH4Uyo,"['FIFA 14', 'Fifa', '14', 'Playstation 3', 'Seasons', 'Coop', 'Football', 'Bug', 'Goal', 'Ps3', 'Ronaldo', 'FIFA (Video Game Series)', 'Video Game (Industry)', 'Corner Kick', 'Leo Messi', 'Lionel Messi (Football Player)', 'Soccer', 'Xbox', 'Ronaldinho', 'Goals', 'Xbox 360 (Video Game Platform)', 'Gameplay', 'Real', 'Xbox360', 'Games', '2vs2', 'Epic', 'Fail', 'Sony']","['Game', 'Video game', 'Association football', 'Sports game', 'FIFA 13', 'FIFA 12']"
JfWm,9qtiKeI5InE,['Alvaro Morata'],['Association football']
xh9m,Dq1ihUAas6I,"['DLS', 'Effect', 'Chorus', 'Waves', 'guitar', 'pedals', 'mike', 'hermans', 'jimi', 'hendrix', 'univibe', 'boss', 'ce1', 'stompbox', 'boutique', 'tone']","['Guitar', 'Electric guitar', 'Guitar amplifier']"
gNEX,WKP3WmtSpO4,"['Raise Me Up', 'Lisa Phillips Visca', 'Trailer']","['Concert', 'Musician']"
1dfh,dX7EPkgowHc,"['Video', 'tốp', 'bàn', 'thắng', 'đẹp', 'nhất']","['Game', 'Association football']"
hCZ0,T92Kp2BXNvo,"['Extreme', 'Sports', 'Freestyle', 'Best Extreme Sports Video Ever', 'Outdoor Games', 'extremity.tv', 'Xtreme', 'extreme sports', 'Extremitiy', 'Xtreme compilation', 'Paragliding', 'Wingsuite', 'jump', 'bike', 'snowboard', 'lake', 'water sports', 'Air', 'flying', 'amzing sports', 'people are awesome', 'Swiss', 'Alps', 'Kayak', 'Kayaking', 'BMX', 'Mountain Bike', 'handgliding', 'airgliding', 'mountain climbing', 'climbing', 'freestyle', 'skills', 'speed', 'concentration', 'extreme', 'jumps', 'Mountain Sports', 'Outdoor sports']","['Cycling', 'Extreme sport']"
nk6r,S45ta16bbOQ,,"['Skateboarding', 'Skateboard', 'Skateboarding trick', 'Skatepark', 'Kickflip', 'Ollie (skateboarding)']"
aIET,hkPrDIHfQvc,"['hi-Hat', 'Hiphone', 'hi-fun', 'hifun', 'hifun перчатки', 'Шапка', 'Обзор Hi-hat', 'hi-head', 'hi-brick', 'hi-ring', 'Hi-Glove', 'Hi-Zip', 'Hi-Sleep', 'Hi-Call', 'Купить Iphone 5']","['Video game', 'Mobile phone', 'Smartphone', 'Gadget', 'Headphones', 'Headset (audio)']"
